wavelength,transmission,log,
962,0.0001,-6,-5.939794001
963,0.0001,-6,-5.879588002
964,0.0002,-5.698970004,-5.819382003
965,0.0002,-5.698970004,-5.723957752
966,0.0002,-5.698970004,-5.603545753
967,0.0003,-5.522878745,-5.523957752
968,0.0004,-5.397940009,-5.428533501
969,0.0005,-5.301029996,-5.319719892
970,0.0006,-5.22184875,-5.224295641
971,0.0007,-5.15490196,-5.12887139
972,0.0009,-5.045757491,-5.027841394
973,0.0012,-4.920818754,-4.914987108
974,0.0016,-4.795880017,-4.782976721
975,0.0022,-4.657577319,-4.632311187
976,0.0032,-4.494850022,-4.452602715
977,0.0051,-4.292429824,-4.222990208
978,0.0095,-4.022276395,-3.919647085
979,0.0225,-3.647817482,-3.604048252
980,0.0723,-3.140861703,-3.40507618
981,0.1211,-2.916855857,-3.317960948
982,0.0504,-3.297569464,-3.335907234
983,0.0259,-3.586700236,-3.463713276
984,0.0183,-3.73754891,-3.624135431
985,0.0166,-3.779891912,-3.670657135
986,0.0191,-3.718966633,-3.579705815
987,0.0295,-3.530177984,-3.392135397
988,0.0738,-3.131943638,-3.333780342
989,0.1586,-2.799696817,-3.396290426
990,0.0325,-3.488116639,-3.569842831
991,0.0093,-4.031517051,-3.879010244
992,0.004,-4.397940009,-4.29628221
993,0.0021,-4.677780705,-4.618040885
994,0.0013,-4.886056648,-4.856107225
995,0.0008,-5.096910013,-5.036725222
996,0.0006,-5.22184875,-5.180757083
